,text,user
0,@JoeBiden @KamalaHarris @votevets why did I nor the American people not know about this? https://t.co/lDZ7OeliDn,gmredmann
1,@JoeBiden When does life begin?,adlib421
2,@JoeBiden https://t.co/g99MxJEPoR,Catalano___91
3,@JoeBiden i can't believe that there is even a debate who will be better leader,HeatherLHolden1
4,@JoeBiden When you are elected. Not if..! #NextPOTUS,DurkPool
5,"@JoeBiden Dude, do you even know what science is?",DWhatzup
6,"@JoeBiden You knew about Hunter abusing Natalie for three years. Three years, Joe. What did you do? Do you know wha… https://t.co/BCzbgqOuEy",RussianBotMkXLV
7,@JoeBiden Where hunter Joe,EstherO84919349
8,"@JoeBiden Fact Check: False!  Dr. Fauci said: ""People should not be walking around with a mask....often there are u… https://t.co/5B2s4QO3Eh",show_sharp
9,@JoeBiden Hey joe. Where is hunter’s laptop? O yeah the fbi has it.,foulplay101
10,"@JoeBiden “I will raise taxes for anybody making over $400,000. … No new taxes [for people making less than $400,00… https://t.co/nnfcN7FNwM",marshotel72
11,@JoeBiden https://t.co/nooDbwWlds,ChaldeanNation
12,@JoeBiden you betrayed children in more ways than one,PittPa4TRUMP
13,@JoeBiden @jmalcoun if Biden wins let us know how his high tax plan for wealthy and business work out for you!  Frauds!,LLandPoH1776
14,@JoeBiden Is kamula going to change your depends? How many times does kamula need to wash her hands?,biten_jo
15,@JoeBiden https://t.co/Koe0MlBBOe,rsanta02
16,@JoeBiden Oh why cause the mule won't move forward for ya.,ShellyW21074255
17,@JoeBiden Make Americans proud then and stop political corruption.,i_watchman
18,@JoeBiden Always? Scientists can be wrong or corrupt just like anyone else.  https://t.co/tDjeSjoSKV,RorySenseman
19,"RT @MissInformation: @JoeBiden is a hands-on dad. He’s a toddler-tantrum expert; Trump can’t rattle him. Trump’s parents ignored him, his w…",FrackHazReveal
20,@JoeBiden @DNC I truly hope you make the missing parents of 545 babies in cages a YOOOOOOOOOOOOOJ issue in the deba… https://t.co/gg9pbE030U,Whitelionroars
21,@JoeBiden Debate Thursday interact with moderator Nation. Trump is coming 2 attack not debate. War you never come d… https://t.co/U7YUkFQOu5,Connie85895125
22,@JoeBiden Everyone do yourselves &amp; the world a favor.   Listen to these scientists from 3 of the most prestigious u… https://t.co/Qau6nHi7WD,3dirtymartinis
23,"@JoeBiden Well, then stop with all the separation",stanvaresi
24,@JoeBiden #joesabsolutelyright #imwithjoe #nextpresjoe,applejuice78669
25,@JoeBiden @KamalaHarris Happy Birthday @SenKamalaHarris,BenVervloet1
26,"@JoeBiden Tomorrow night, ask Trump where the parents of 545 caged-children are. Ask who he owes $900 million dolla… https://t.co/uP6li1BM1C",LizNBntown
27,@JoeBiden @jephjacques Is @realDonaldTrump working for you on the DL because I really don’t see this as a disadvant… https://t.co/AQd7ADqrPe,UMIST_For_Ever
