,text,user
0,@realDonaldTrump @BreitbartNews Did you write your Chinese taxes from your secret China bank account… https://t.co/xgVpBm32Su,champagne_tap
1,@realDonaldTrump #MAGGOT,TheEvilDrSteve
2,RT @scientificrealm: @realDonaldTrump https://t.co/1kl6idYvgk,MikeBas91943751
3,"@realDonaldTrump Remember, #TheTrumpCrimeFamily is going to steal from your charities, not tell you about deadly vi… https://t.co/mknL7D1eCH",rootcauseteam
4,"@realDonaldTrump Biden’s going to raise YOUR taxes. He won’t raise taxes for those earning under $400,000.00. You g… https://t.co/qx8QJzlWdj",IM4NY
5,"@realDonaldTrump Mr President,for 20 years i had submitted in dv lottery,and for 20 years i didn't won or accepted… https://t.co/qJaN3xYhuk",Basem_Aram
6,"RT @4a_of: @realDonaldTrump @BreitbartNews Where did the money in your CHINA bank account come from, and where did it go when YOU took it o…",JMDelga82664720
7,@realDonaldTrump OHIOANS LOVE YOU MR. PRESIDENT! https://t.co/QXELVl7sES,JamesSt97297016
8,RT @TassajaraRd: @realDonaldTrump No. @JoeBiden isn’t going to raise your taxes unless you make more than $400k a year. Next ?,Leslieks
9,@realDonaldTrump #trumpownedbychina. So how much tax did you pay in China on your hidden bank accounts?,buzzearth
10,@realDonaldTrump @RealCandaceO @WhiteHouse @RealTina40 #magamotherfucker https://t.co/kDYG1BQ1DG,Trece_patrice
11,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",chego
12,RT @scientificrealm: @realDonaldTrump https://t.co/F5QoxLxf38,UsaLizzie
13,@realDonaldTrump @BreitbartNews https://t.co/TBY9OYiQEN,the_alwaysreal
14,"@realDonaldTrump Remember, TRUMP pays more in taxes to China than he pays in the US.",alotfromlydia
15,@realDonaldTrump Yeah and all the states that have the highest welfare population are red states...with lower taxes… https://t.co/Dk4Lmy5Y1C,50Camels
16,"@realDonaldTrump @BreitbartNews This is fake news made up by Russia to influence the election. Unlike 2016, we've s… https://t.co/TPlZ67CuEz",BurnardAmy
17,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",ThePinkyPrince1
18,@realDonaldTrump 😂   The economy isn’t coming back.    People have been laid off twice  Biden is ONLY raising taxes… https://t.co/FrU6byvldg,BigStrongGeek
19,RT @BlueR00n: @realDonaldTrump Who believes this c**p? For real. Increasing tax for the top 10% won't effect the economy.   This level of l…,MakiTmakiaz
20,@realDonaldTrump Vote trump out to save the country Virginia!!!,gregori21009584
21,@realDonaldTrump LIAR.,ResistNonsense
22,@realDonaldTrump https://t.co/CkcwOj4SEP,ZorroTheAvenger
23,"@realDonaldTrump @BreitbartNews Girl, you have a whole ass Chinese bank account that you kept on the low. Sit your ass down.",dukeblueblood
24,@realDonaldTrump I prefer Presidents who do not have bank accounts in China.,Quixotified
25,RT @itsJeffTiedrich: @realDonaldTrump and then what happened? the ballots in question were checked against voter rolls and invalidated. tha…,babsforlife
26,@realDonaldTrump @BreitbartNews #TrumpSuperSpreader  #TrumpIsKillingAmericans  #TrumpVirusDeathToll224K… https://t.co/YbwVSDGNoq,sevenheismans
27,"RT @Kenny_Sowellfan: @realDonaldTrump @BreitbartNews ""You can mute the mic of the president of the United States, but you cannot silence th…",gerstma_roz
28,"@realDonaldTrump Yeah, that's not stupid.",Oyishichan
29,@realDonaldTrump https://t.co/f0u9gsZ7LC,thomaslavia
30,"@realDonaldTrump False. Also a common threat of Republicans. The Economy, and Deficit have historically done better… https://t.co/WaLVieWG66",Gobiden2020_
31,"RT @mmpadellan: @realDonaldTrump @BreitbartNews Hey moronicus, I hate to interrupt your projection, but the payroll tax stunt you announced…",flickgisela1
32,@realDonaldTrump will you please stop lying? You very well know Biden’s tax plan only raises taxes on people who ea… https://t.co/wOyQzfRImC,sg_swanson
33,@realDonaldTrump Is there anything you say that’s not a lie....  anything?,TexasRickPowell
34,"RT @Kenny_Sowellfan: @realDonaldTrump ""You can mute the mic of the president of the United States, but you cannot silence the voice of the…",TriciaStanaland
35,RT @scientificrealm: @realDonaldTrump https://t.co/zJhmm640Yl,Janice36905629
36,@realDonaldTrump I am looking forward to your loss and Republican party reform.  Until then I will continue to vote… https://t.co/e0Q7tHY6Wd,GinaKell13
37,@realDonaldTrump I don't think Biden could do a better job of destroying the economy than you did,GoldflexP
38,@realDonaldTrump Virginia vote Biden and Harris to save your lives!,JoanPGibbs
39,RT @TrumpVoterWTF: @realDonaldTrump Thank you Donald Sir!♥️  DONALD'S GOT BIG ENTHUSIASSM AMERICA!🇺🇲  HE WILL FIX COVID (soon)! HE WILL FIX…,Christinaofs
40,RT @ProjectLincoln: @realDonaldTrump You’re in bed with China.,angrymom239
41,@realDonaldTrump That tweet must been heart-breaking for Eric Trump! Finally he thought his dad would give him credit for something!,KayaUzel1
42,"RT @HKrassenstein: @realDonaldTrump @BreitbartNews You literally have a bank account with the Chinese a communist party, and you literally…",Linda24867736
43,@realDonaldTrump GO TO VA!!!!,stopHypocrisy20
44,RT @MoeThacker1: @realDonaldTrump Good man Biden vs. bad man Trump. Doesn’t change.,MoeThacker1
45,@realDonaldTrump The Obama economy you destroyed? It is not coming back.  And President Biden will now have to buil… https://t.co/EcAIIFkIdY,bloggerpillai
46,"@realDonaldTrump @BreitbartNews I think you meant to say: Donald Trump is a totally corrupt politician, and got cau… https://t.co/n4wtbwuPEH",Canuck3030
47,RT @lauferlaw: @realDonaldTrump You’ve raised the mortality rate in America at a level never seen b4. Everyone is sick of you &amp; your nonsen…,cateyessixtysix
48,@realDonaldTrump That 15% unemployment rate is quite a comeback!,nzorach
49,@realDonaldTrump @BreitbartNews Crazy liar,andryschuchu
50,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",pdom694
51,"@realDonaldTrump You make over 400,000 he will raise your taxes, not ours. But you'll find a way to get out of paying.",KathyEl12345
52,"@realDonaldTrump It's all bullshit.  To put It simply, if you earn more than $400k, yes you will pay more taxes und… https://t.co/ZV9D73Evgx",louise_armonio
53,@realDonaldTrump Covid likes that rally.,arthritisdoc1
54,@realDonaldTrump Shut up,DizzieDezzie24
55,@realDonaldTrump All lies. https://t.co/vdOLMOnfzW,stephaniekallio
56,"RT @ZPoet: @realDonaldTrump BIDEN is only raising taxes on Americans who make more than $400,000 a year, Donny. Even my richest friends don…",hawkaye19
57,"RT @skye_gary: @realDonaldTrump Your comments are idiotic, Donald. Yes, Fauci and the CDC said don’t wear a mask, unless you yourself is in…",lizard817
58,@realDonaldTrump This is literally a blatant lie. How are you the president?,whyaretheytake
59,@realDonaldTrump VOTE for Hunters DAD!,BryanEugene5
60,@realDonaldTrump Actually mine aren’t affected so stop making stuff up,jaimiestarr7
61,@realDonaldTrump Go fukc yourself. I can’t wait to NOT vote for you,bluerag185
62,@realDonaldTrump PRESIDENT TRUMP YOU ARE AWESOME ❤️🇺🇸😍🇺🇸,PREETIMATHUR18
63,@realDonaldTrump https://t.co/H1QayRffqX,male_taurean
64,"@realDonaldTrump @BreitbartNews you have wanted to cut payroll taxes, guess what, that funds Social Security.  So y… https://t.co/x1UUbMJi5O",impatientmiss
65,RT @ProjectLincoln: @realDonaldTrump You’re in bed with China.,PorscheDia
66,@realDonaldTrump Remember this? https://t.co/sjpoaRsmEd,brado_77
67,@realDonaldTrump Perfect for Donnie. https://t.co/rxcFNZQRUf,bob58876057
68,@realDonaldTrump To me I see this as no incentive to make more money just to lose it to taxes,Mellonieanne
69,@realDonaldTrump 60 minutes probably called trump on trump lies.,DrewVanosdale
70,"RT @itsJeffTiedrich: @realDonaldTrump fact check: yeah, no. this is a clumsy lie. abolishing the 2nd Amendment would require adding a new a…",gates71
71,"@realDonaldTrump He says no, but It isn't clear. If he repeals the Trump tax cuts, it will have the same effect as raising our taxes.",JeanDiane03
72,@realDonaldTrump https://t.co/NKDRTRwhJz,patty_hawthorne
73,"RT @itsJeffTiedrich: @realDonaldTrump fact check: yeah, no. this is a clumsy lie. abolishing the 2nd Amendment would require adding a new a…",PugsterThePug
74,@realDonaldTrump @BreitbartNews LOSER!,GWSArch
